2	0.03298988	prolog.exe	IRP_MJ_CREATE	Npdrv2	SUCCESS	Options: Open 	
3	0.00000204	prolog.exe	IOCTL_SERIAL_GET_BAUD_RATE	Npdrv2	SUCCESS		
4	0.00000144	prolog.exe	IOCTL_SERIAL_GET_LINE_CONTROL	Npdrv2	SUCCESS		
5	0.00000124	prolog.exe	IOCTL_SERIAL_GET_CHARS	Npdrv2	SUCCESS		
6	0.00000104	prolog.exe	IOCTL_SERIAL_GET_HANDFLOW	Npdrv2	SUCCESS		
7	0.00988260	prolog.exe	IOCTL_SERIAL_SET_BAUD_RATE	Npdrv2	SUCCESS	Rate: 2400	
8	0.00000172	prolog.exe	IOCTL_SERIAL_SET_RTS	Npdrv2	SUCCESS		
9	0.00000116	prolog.exe	IOCTL_SERIAL_SET_DTR	Npdrv2	SUCCESS		
10	0.00000120	prolog.exe	IOCTL_SERIAL_SET_LINE_CONTROL	Npdrv2	SUCCESS	StopBits: ERROR Parity: NONE WordLength: 8	
11	0.00000140	prolog.exe	IOCTL_SERIAL_SET_CHAR	Npdrv2	SUCCESS	EOF:0 ERR:0 BRK:0 EVT:0 XON:0 XOFF:0	
12	0.00992652	prolog.exe	IOCTL_SERIAL_SET_HANDFLOW	Npdrv2	SUCCESS	Shake:1 Replace:40 XonLimit:0 XoffLimit:0	
13	0.00000292	prolog.exe	IOCTL_SERIAL_SET_QUEUE_SIZE	Npdrv2	SUCCESS	InSize: 4096 OutSize: 1024	
14	0.00000164	prolog.exe	IOCTL_SERIAL_SET_TIMEOUTS	Npdrv2	SUCCESS	RI:0 RM:10 RC:0 WM:10 WC:5000	
15	0.00000240	prolog.exe	IOCTL_SERIAL_SET_TIMEOUTS	Npdrv2	SUCCESS	RI:5000 RM:10 RC:5000 WM:10 WC:5000	
16	0.00000164	prolog.exe	IOCTL_SERIAL_GET_BAUD_RATE	Npdrv2	SUCCESS		
17	0.00000176	prolog.exe	IOCTL_SERIAL_GET_LINE_CONTROL	Npdrv2	SUCCESS		
18	0.00000176	prolog.exe	IOCTL_SERIAL_GET_CHARS	Npdrv2	SUCCESS		
19	0.00000152	prolog.exe	IOCTL_SERIAL_GET_HANDFLOW	Npdrv2	SUCCESS		
20	0.00000164	prolog.exe	IOCTL_SERIAL_SET_BAUD_RATE	Npdrv2	SUCCESS	Rate: 2400	
21	0.00000144	prolog.exe	IOCTL_SERIAL_SET_RTS	Npdrv2	SUCCESS		
22	0.00000140	prolog.exe	IOCTL_SERIAL_SET_DTR	Npdrv2	SUCCESS		
23	0.00000152	prolog.exe	IOCTL_SERIAL_SET_LINE_CONTROL	Npdrv2	SUCCESS	StopBits: ERROR Parity: NONE WordLength: 8	
24	0.00000164	prolog.exe	IOCTL_SERIAL_SET_CHAR	Npdrv2	SUCCESS	EOF:0 ERR:0 BRK:0 EVT:0 XON:0 XOFF:0	
25	0.01037528	prolog.exe	IOCTL_SERIAL_SET_HANDFLOW	Npdrv2	SUCCESS	Shake:1 Replace:40 XonLimit:0 XoffLimit:0	
26	0.00000256	prolog.exe	IOCTL_SERIAL_SET_QUEUE_SIZE	Npdrv2	SUCCESS	InSize: 4096 OutSize: 1024	
27	0.00000880	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
28	0.00000964	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
